begin_age	end_age	events
0.01	0.11	['Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP']
0.11	0.21	['Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP']
0.21	0.31	['Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)']
0.31	0.41	['TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen']
0.41	0.51	['TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP']
0.51	0.61	['Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic']
0.61	0.71	['Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam']
0.71	0.81	['Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca']
0.81	0.91	['Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders']
0.91	1.01	['Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan', 'TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean']
1.01	1.11	['Holy Roman Empire', 'Capetian, Valois, and Bourbon (France); Iberian kingdoms', 'Song dynasty', 'Late Mogollon', 'Northeast Late Woodland', 'Oneota', 'Postclassic Southern Mexican Highlands (Postclassic Oaxaca)', 'Chimu', 'Buyid Dynasty', 'Buyid Rule', 'TOP', 'Liao dynasty', 'TOP', 'Samanid Dynasty (Khorasan)', 'Central Plains Village', 'Mississippian (Middle Mississippian)', 'West Mexico Postclassic', 'Postclassic Maya', 'Terminal Classic']
1.11	1.21	['Saffarid Dynasty', 'Pioneer period', 'Colonial period', 'Tahirid Dynasty', 'Terminal Classic', 'Late Classic', 'Chiriqui', 'Manteno', 'Late Chibcha (Columbia)', 'TOP', 'Huari (or Wari)']
1.21	1.31	['Viking culture', 'Viking culture', 'Papal and city states', 'Carolingian (France); Umayyad (Iberia)', 'West African Regional Development', 'TOP', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'Abbasid rule', 'Islam center shifts from Syria to Iraq', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'TOP', 'Uighur kingdom', 'Toltec', 'Central Mexico Postclassic', 'Epiclassic', 'Early classic', 'TOP', 'TOP']
